# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.752376188094046953e-04 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.504752376188093906e-04 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.425712856428214140e-03 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.999898270600203753e-01 3.051881993897386940e-05 9.998982706002034204e-01 1.000000000000000000e+00 9.999916756846749522e-01 2.497294597521015970e-05 9.999167568467492995e-01 1.000000000000000000e+00
1.900950475237618781e-03 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.999898270600203753e-01 3.051881993897386940e-05 9.998982706002034204e-01 1.000000000000000000e+00 9.999916756846749522e-01 2.497294597521015970e-05 9.999167568467492995e-01 1.000000000000000000e+00
2.376188094047023639e-03 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.999898270600203753e-01 3.051881993897386940e-05 9.998982706002034204e-01 1.000000000000000000e+00 9.999916756846749522e-01 2.497294597521015970e-05 9.999167568467492995e-01 1.000000000000000000e+00
2.851425712856428280e-03 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.999796541200407507e-01 4.069175991863183264e-05 9.998982706002034204e-01 1.000000000000000000e+00 9.999833513693499043e-01 3.329726130028021067e-05 9.999167568467492995e-01 1.000000000000000000e+00
3.326663331665832921e-03 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.999694811800610150e-01 6.513859854966802586e-05 9.997965412004069519e-01 1.000000000000000000e+00 9.999750270540248565e-01 5.330162521796028637e-05 9.998335136934987100e-01 1.000000000000000000e+00
3.801900950475237562e-03 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.999694811800610150e-01 6.513859854966802586e-05 9.997965412004069519e-01 1.000000000000000000e+00 9.999750270540248565e-01 5.330162521796028637e-05 9.998335136934987100e-01 1.000000000000000000e+00
4.277138569284642637e-03 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.999518768046197215e-01 1.443695861405358603e-04 9.995187680461982138e-01 1.000000000000000000e+00 9.999694811800610150e-01 6.513859854966802586e-05 9.997965412004069519e-01 1.000000000000000000e+00 9.999667027386998086e-01 6.659452260051600971e-05 9.998335136934987100e-01 1.000000000000000000e+00
